"Afghanistan",6,9,46695428,7961908.17
"Albania",41,550,1500000,109957.32
"Algeria",33,0,3744000,411669.72
"Andorra",5,40000,2147483647,1764848516304877.50
"Angola",3,600000,2400000,1216666.67
"Argentina",329,800,2288000,248387.86
"Armenia",43,430,41600000,4411408.44
"Australia",1171,3,8320000,220349.25
"Austria",408,12,2400000,61807.93
"Azerbaijan",29,144,70000,18748.41
"Bahamas",2,57000,120000,88500.00
"Bahrain",6,400,24000,9766.67
"Bangladesh",240,1,15600000,664997.89
"Barbados",3,15600,65000,33853.79
"Belarus",132,1,2400000,65490.54
"Belgium",392,1,3180000,66195.29
"Benin",2,4200000,36000000,20100000.00
"Bhutan",3,3000,300000,109666.67
"Bolivia",16,400,180000,32185.63
"Bosnia and Herzegovina",58,600,2147483647,1432368256.43
"Botswana",2,140000,208000,174000.00
"Brazil",1370,0,2147483647,8759124087591242000000000000.00
"Bulgaria",206,2,780000,49543.69
"Burundi",1,18500,18500,18500.00
"Cambodia",16,300,63000,16186.13
"Cameroon",12,500,33800000,5507358.33
"Canada",1986,56,2147483647,554381173721556000000000000000000000000000000000000000000000000000000000000.00
"Chile",116,900,144000000,11146457.38
"China",279,9,4750000,205428.30
"Colombia",204,535,360000000,30362036.39
"Congo, Republic of the...",2,12000,5400000,2706000.00
"Costa Rica",59,7,88400000,3902251.32
"Croatia",115,5,384000,85159.85
"Cuba",27,35,900000,45186.63
"Cyprus",22,1470,240000,46318.64
"Czech Republic",403,1500,9216000,558747.54
"C̫te d'Ivoire",1,3000,3000,3000.00
"Democratic Republic of the Congo",2,12600,60000,36300.00
"Denmark",372,11208,12000000,609618.83
"Dominica",1,1040,1040,1040.00
"Dominican Republic",58,725,1560000,337475.85
"Ecuador",29,800,432000,33443.45
"Egypt",144,0,360000,61964.65
"El Salvador",24,1000,95000,20141.33
"Eritrea",1,3000,3000,3000.00
"Estonia",106,660,540000,38542.74
"Ethiopia",18,2640,444000,120880.00
"Fiji",5,7200,33600,21152.00
"Finland",310,2400,840000,59343.23
"France",1452,44,4320000,80242.53
"Gabon",1,7200000,7200000,7200000.00
"Gambia",2,180000,300000,240000.00
"Georgia",30,1000,240000,33204.00
"Germany",3436,0,2147483647,18683794538575564.00
"Ghana",27,300,432000,45363.11
"Greece",247,0,660816,39293.53
"Guatemala",28,500,240000,74051.79
"Guyana",1,4500,4500,4500.00
"Haiti",1,2000,2000,2000.00
"Honduras",10,700,540000,152850.00
"Hong Kong (S.A.R.)",92,3000,5184000,428843.65
"Hungary",230,936,49200000,5650794.66
"Iceland",23,18000,14400000,4910105.57
"India",4196,0,2147483647,1239275738798856000000000000000000000.00
"Indonesia",204,30,2147483647,2186349774.76
"Iran, Islamic Republic of...",340,0,2147483647,278979483.67
"Iraq",11,750,20000000,3020293.64
"Ireland",317,80,2147483647,3785488959157085.50
"Israel",472,1,2147483647,236870169.68
"Italy",760,240,1500000,78279.72
"Jamaica",7,13032,4300000,1769290.29
"Japan",175,3000,180000000,8434005.49
"Jordan",36,1400,168000,21053.83
"Kazakhstan",51,3055,28600000,2998648.53
"Kenya",65,2,4200000,670557.88
"Kuwait",9,7200,1500000,181006.67
"Kyrgyzstan",9,1800,540000,69146.67
"Latvia",86,400,95000,25701.97
"Lebanon",42,4000,42300000,2880085.33
"Lesotho",1,480000,480000,480000.00
"Libyan Arab Jamahiriya",4,650,180000,60437.50
"Liechtenstein",2,73200,744000,408600.00
"Lithuania",140,400,228000,31001.81
"Luxembourg",34,5600,12000000,475542.24
"Madagascar",9,2520,48000000,11254013.33
"Malawi",2,4800,216000,110400.00
"Malaysia",146,108,2147483647,2499779325.52
"Maldives",4,14400,240000,98460.00
"Malta",37,1800,420000,67284.86
"Marshall Islands",1,36000,36000,36000.00
"Mauritius",12,7200,1080000,396083.33
"Mexico",397,100,3500000,303580.36
"Mongolia",8,4800,60000000,14228975.00
"Montenegro",8,1700,95000,28212.50
"Morocco",62,120,720000,77118.06
"Mozambique",8,5000,1956000,733825.00
"Myanmar",15,4800,33300000,4869386.67
"Namibia",2,96000,264000,180000.00
"Nepal",83,0,18000000,750742.67
"Netherlands",1036,10,2147483647,96525096525096510000000000000000.00
"New Zealand",319,374,4680000,240509.05
"Nicaragua",12,600,576000,107986.00
"Nigeria",139,0,685152000,8307897.57
"Norway",337,140,11640000,1186286.37
"Oman",8,16,4005540,533364.60
"Other Country (Not Listed Above)",41,1,600000000,14865763.49
"Pakistan",407,50,4622176,600982.69
"Panama",17,1000,184000,31881.18
"Paraguay",29,700,187000000,32773693.79
"Peru",48,550,108000,33465.21
"Philippines",174,520,14400000,487436.51
"Poland",1071,16,2147483647,1400560356202.14
"Portugal",294,20,4800000,52605.56
"Qatar",6,1692,4920000,924482.00
"Republic of Korea",15,0,53000000,23162933.35
"Republic of Moldova",32,700,2600000,184365.63
"Romania",380,12,100000000,338897.62
"Russian Federation",1323,0,110400000,1242585.24
"Rwanda",6,500,14400000,2465966.67
"Saint Lucia",1,432000,432000,432000.00
"Saudi Arabia",47,300,3000000,247904.85
"Senegal",3,12000,19200000,7804000.00
"Serbia",183,500,10000000,424592.85
"Sierra Leone",1,120000,120000,120000.00
"Singapore",154,750,1680000,120010.30
"Slovakia",117,60,120000,24494.21
"Slovenia",120,700,960000,42567.47
"Somalia",4,2400,36000,15900.00
"South Africa",373,360,11299200,722640.16
"South Korea",57,2200,1200000000,113774929.82
"Spain",979,0,2147483647,12331528.33
"Sri Lanka",172,781,4200000,989413.19
"Sudan",9,50,204000,46352.22
"Suriname",1,18600,18600,18600.00
"Swaziland",3,18000,48000,30000.00
"Sweden",731,516,9600000,540204.98
"Switzerland",560,110,2400000,144819.19
"Syrian Arab Republic",20,800,3360000,910690.00
"Taiwan",69,10200,8000000,906816.70
"Tajikistan",2,4200,54000,29100.00
"Thailand",71,52,2000000,620216.11
"The former Yugoslav Republic of Macedonia",25,1200,1886100,136613.60
"Togo",2,24000,241000,132500.00
"Trinidad and Tobago",11,12000,480000,145363.64
"Tunisia",44,48,29031276,1201670.14
"Turkey",408,35,11970556,142952.97
"Turkmenistan",1,12000,12000,12000.00
"Uganda",27,1000,230400000,28479575.70
"Ukraine",495,48,9600000,224739.09
"United Arab Emirates",76,4500,4800000,356815.49
"United Kingdom",3754,0,2147483647,266382525306339880000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00
"United Republic of Tanzania",18,500,54840000,15540983.33
"United States",12830,0,2147483647,7794232478165.77
"Uruguay",50,1,1400000,251843.66
"Uzbekistan",18,2000,144000000,15143049.11
"Venezuela, Bolivarian Republic of...",61,13,120000000,8225253.89
"Viet Nam",92,0,2147483647,157500872.42
"Yemen",7,3000,2400000,630085.71
"Zambia",2,18000,300000,159000.00
"Zimbabwe",17,2400,1000000,78022.47
